rt_score,Genre_1,Genre_2,Genre_3,imdb_rating,length,rating,studio,title,year
6.9,Thriller,Crime,,7.8,116,PG-13,Warner Bros,Ocean's Eleven,2001
4.6,Romance,Drama,Action,6,183,PG-13,Touchstone,Pearl Harbor,2001
5.5,Sci-Fi,Adventure,Action,5.7,119,PG-13,20th Century Fox,Planet of the Apes,2001
7.7,Comedy,Animation,Adventure,7.9,90,PG,DreamWorks,Shrek,2001
8.2,Fantasy,Adventure,,8.8,178,PG-13,New Line Cinema,The Lord of the Rings: The Fellowship of the Ring,2001
5.2,Fantasy,Adventure,Action,6.3,130,PG-13,Universal,The Mummy Returns,2001
7.4,Drama,Adventure,,7.7,143,PG-13,Fox,Cast Away,2000
6.2,Family,Animation,Adventure,6.4,82,PG,Disney,Dinosaur,2000
7.2,Drama,Action,,8.5,155,R,DreamWorks / Universal,Gladiator,2000
5.6,Fantasy,Family,Comedy,6,104,PG,Universal,How the Grinch Stole Christmas,2000
6.9,Comedy,,,7,108,PG-13,Universal / DreamWorks,Meet the Parents,2000
6,Thriller,Adventure,Action,6,123,PG-13,Paramount,Mission: Impossible II,2000
5.5,Drama,Adventure,Action,6.4,130,PG-13,Warner Bros.,The Perfect Storm,2000
5.5,Mystery,Horror,Drama,6.6,130,PG-13,DreamWorks / Fox,What Lies Beneath,2000
5.7,Romance,Fantasy,Comedy,6.4,127,PG-13,Paramount,What Women Want,2000
7,Sci-Fi,Adventure,Action,7.4,104,PG-13,Fox,X-Men,2000
8.2,Romance,Drama,,8.4,122,R,DreamWorks Pictures,American Beauty,1999
6,Comedy,Adventure,Action,6.6,95,PG-13,New Line Cinema,Austin Powers: The Spy Who Shagged Me,1999
7.1,Romance,Drama,Comedy,7,124,PG-13,Universal Pictures,Notting Hill,1999
5.8,Fantasy,Adventure,Action,6.6,136,PG,20th Century Fox / Lucasfilm,Star Wars Episode I: The Phantom Menace,1999
7.6,Drama,Animation,Adventure,7.2,88,G,Walt Disney Pictures,Tarzan,1999
7.6,Sci-Fi,Action,,8.7,136,R,Warner Bros.,The Matrix,1999
5.7,Fantasy,Adventure,Action,7,125,PG-13,Universal Pictures,The Mummy,1999
7.6,Thriller,Mystery,Drama,8.2,107,PG-13,Hollywood Pictures,The Sixth Sense,1999
5.7,Crime,Adventure,Action,6.4,128,PG-13,Metro-Goldwyn-Mayer,The World Is Not Enough,1999
8.6,Comedy,Animation,Adventure,7.9,92,G,Walt Disney Pictures / Pixar,Toy Story 2,1999
7.9,Comedy,Animation,Adventure,7.2,95,G,Walt Disney Pictures / Pixar,A Bug's Life,1998
